PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
041329,01-JUL-17,30-JUN-18,Settled,,5721390,39226779
041330,01-JAN-17,31-DEC-17,Settled,,5296555,17722769
041331,01-JAN-17,31-DEC-17,Settled w/Audit,,33204340,58292513
042004,01-SEP-17,31-AUG-18,Settled,5423497,11407523,
042006,01-SEP-17,31-AUG-18,Settled,10005422,45476574,
042008,01-SEP-17,31-AUG-18,Settled,7209387,20442465,
042009,01-JUN-17,31-MAY-18,Reopened,8677079,47457665,
042010,01-SEP-17,31-AUG-18,Settled,12711185,47395309,4883
042011,01-OCT-16,30-SEP-17,Settled,6574073,22030071,
042012,01-JAN-17,31-DEC-17,Settled,16290069,64034621,45645
043026,01-JAN-17,31-DEC-17,Settled,29090471,58498886,39880981
043028,01-JUN-17,31-MAY-18,Settled,16238799,35332381,113
043029,01-JAN-17,31-DEC-17,Settled,18751431,44472696,2735902
043031,01-JAN-17,31-DEC-17,Settled,22671277,45283677,
043032,01-JAN-17,31-DEC-17,Settled,18390816,38502471,
043033,01-JAN-17,31-DEC-17,Settled,5110153,8193273,
043034,01-NOV-16,31-OCT-17,Settled,3276608,5529523,
043035,01-JUN-17,31-MAY-18,Settled,12925786,22312762,
043300,01-JUL-17,30-JUN-18,Settled,,594326527,343576235
044004,01-JAN-17,31-DEC-17,Settled,20707600,43686313,5212293
044005,01-JAN-17,31-DEC-17,Settled,17352581,50879799,2521168
044006,01-JAN-17,31-DEC-17,Settled,16415436,33071500,4283563
044007,01-JAN-17,31-DEC-17,Settled,11252996,29622855,1551850
044011,01-JUL-17,30-JUN-18,Settled,47987017,60056520,2406
044019,01-JAN-17,31-DEC-17,Settled,11156697,24462975,1532700
044020,01-JAN-17,31-DEC-17,Settled,10808994,16329090,4448293
044021,01-JAN-17,31-DEC-17,Settled,3503453,5833232,
050002,01-OCT-16,30-SEP-17,Settled,125963563,473050896,182534090
050006,01-JUL-17,31-MAR-18,Settled,166590744,459787664,534501588
050007,01-JAN-17,31-DEC-17,Settled,462651672,873499818,801907845
050008,01-JAN-17,31-DEC-17,Settled,183632223,482329303,218242935
050009,01-JUL-17,31-MAR-18,Settled,178905038,530862007,514149800
050013,01-JAN-17,31-DEC-17,Settled,169959561,667629015,319553553
050014,01-JAN-17,31-DEC-17,Settled,66963169,120964239,154529086
050017,01-JUL-17,30-JUN-18,Settled,477269635,1986143969,830878506
050022,01-MAY-17,30-APR-18,Reopened,411630081,2997288453,1481057844
050024,01-JAN-17,31-DEC-17,Settled,115419204,348112822,132101971
050025,01-JUL-17,30-JUN-18,Settled,1652441619,2966979736,2792983628
050026,01-OCT-16,30-SEP-17,Settled w/Audit,640069417,2211718168,1616185025
050028,01-JUL-17,30-JUN-18,Settled,57957971,63881855,158132261
050030,01-DEC-16,30-NOV-17,Settled,194097838,375543588,344581281
050036,01-JUL-17,30-JUN-18,Settled,365879038,1096014533,745711196
050038,01-JUL-17,30-JUN-18,Settled w/Audit,1121650070,2089009571,1397477185
050039,01-JUL-17,30-JUN-18,Settled w/Audit,480376888,1531937654,1056239224
050040,01-JUL-17,30-JUN-18,Settled w/Audit,424418063,24572377,37720016
050042,01-JUL-17,30-JUN-18,Settled,73440053,132305405,276618840
050043,01-JAN-17,31-DEC-17,Settled,368302129,1160006683,499015244
050045,01-JUL-17,30-JUN-18,Settled,139257794,228988613,516070165
050047,01-JAN-17,31-DEC-17,Settled,712674228,1710135527,985806865
050054,01-JUL-17,30-JUN-18,Settled,80197850,103840104,190065686
050055,01-JAN-17,31-DEC-17,Reopened,160412396,324295425,160582420
050056,01-JUL-17,30-JUN-18,Settled,397344180,1302160597,598693601
050057,01-JUL-17,30-JUN-18,Settled,553017433,1111038161,901824109
050058,01-JUL-17,30-JUN-18,Settled w/Audit,185019987,674304524,311136028
050060,01-SEP-17,31-AUG-18,Settled w/Audit,910944577,3326845423,1625269281
050063,01-JAN-17,31-DEC-17,Settled w/Audit,216884315,758331831,211717420
050067,01-JUL-17,30-JUN-18,Settled,62969765,47947205,129175840
050069,01-JUL-17,30-JUN-18,Reopened,552541100,1370102804,1486559776
050070,01-JAN-17,31-DEC-17,Reopened,216467330,319959662,334931636
050071,01-JAN-17,31-DEC-17,Settled,860761961,1220355128,1191210024
050072,01-JAN-17,31-DEC-17,Settled,580371644,679943732,858430171
050073,01-JAN-17,31-DEC-17,Settled,451030264,607073897,569332520
050075,01-JAN-17,31-DEC-17,Settled w/Audit,964989828,1343693128,1229169732
050076,01-JAN-17,31-DEC-17,Settled,577310974,842984987,557464032
050077,01-OCT-16,30-SEP-17,Settled w/Audit,590088613,2447952078,828741960
050078,01-JAN-17,31-DEC-17,Settled,145245233,575676277,199738966
050082,01-JUL-17,30-JUN-18,Settled,308142148,873641322,592848524
050084,01-JUL-17,30-JUN-18,Settled w/Audit,461861512,2074032238,1121805139
050089,01-JUL-17,30-JUN-18,Reopened,190233546,741811461,291178092
050090,01-JUL-17,30-JUN-18,Settled,57321661,95849092,168687893
050091,01-JAN-17,31-DEC-17,Settled,43601560,215017152,152774161
050093,01-JUL-17,30-JUN-18,Reopened,399435796,1163570944,693631340
