ZIP,state,name,far1,far2,far3,far4,gridpop,sqmi,density,fr1pop,fr2pop,fr3pop,fr4pop,fr1pct,fr2pct,fr3pct,fr4pct
89040,NV,Overton,0,0,0,0,"10,146","2,464",4.1,527.632325,527.632325,527.0806189,505.5852049,5.200389462,5.200389462,5.194951799,4.983091156
82639,WY,Kaycee,1,1,1,1,851,"2,418",0.4,453.193626,451.7999057,451.7999057,451.7999057,53.27107666,53.10725048,53.10725048,53.10725048
86047,AZ,Winslow,0,0,0,0,"17,755","2,416",7.3,8045.508713,8045.508713,8045.508713,7190.095565,45.31496814,45.31496814,45.31496814,40.49699815
99827,AK,Haines,1,1,1,1,"2,523","2,372",1.1,2522.508123,2522.508123,2522.508123,2522.508123,100,100,100,100
78851,TX,Dryden,1,1,1,1,982,"2,358",0.4,982.2545934,982.2545934,982.2545934,982.2545934,100,100,100,100
69201,NE,Valentine,1,1,1,0,"4,073","2,356",1.7,4072.962127,4072.962127,4072.962127,804.4384687,100,100,100,19.75069848
84511,UT,Blanding,1,1,1,0,"4,872","2,356",2.1,4871.742851,4871.742851,4871.742851,492.2042385,100,100,100,10.10324752
88020,NM,Animas,1,1,1,1,"1,229","2,325",0.5,1229.372961,1229.372961,1229.372961,1229.372961,99.99983614,99.99983614,99.99983614,99.99983614
85901,AZ,Show Low,1,1,0,0,"21,953","2,308",9.5,21953.10865,21953.10865,2061.76749,2056.56637,100,100,9.39168809,9.36799614
59901,MT,Kalispell,1,0,0,0,"52,452","2,307",22.7,52452.30664,334.0073306,334.0073306,334.0073306,100,0.636782921,0.636782921,0.636782921
79830,TX,Alpine,1,1,1,0,"8,324","2,297",3.6,8323.57212,8323.57212,8323.57212,1409.093357,99.99981218,99.99981218,99.99981218,16.92891814
87901,NM,Truth or Consequences,0,0,0,0,"9,251","2,293",4.0,3004.985767,3004.985767,3004.985767,307.1935692,32.48418767,32.48418767,32.48418767,3.320792285
99712,AK,Fairbanks,0,0,0,0,"14,186","2,276",6.2,520.1440467,520.1440467,520.1440467,520.1440467,3.666504858,3.666504858,3.666504858,3.666504858
86336,AZ,Sedona,0,0,0,0,"11,913","2,268",5.3,526.3377821,414.8775891,408.2314527,406.7537369,4.418292179,3.482650247,3.426859891,3.414455347
79855,TX,Van Horn,1,1,1,1,"2,319","2,255",1.0,2319.274768,2319.274768,2319.274768,2319.274768,100,100,100,100
87420,NM,Shiprock,0,0,0,0,"18,640","2,237",8.3,6046.414887,6046.414887,6046.414887,6046.414887,32.43721452,32.43721452,32.43721452,32.43721452
82718,WY,Gillette,1,0,0,0,"22,750","2,236",10.2,22741.83252,705.0508681,705.0508681,705.0508681,99.96477688,3.099145712,3.099145712,3.099145712
92332,CA,Essex,1,1,1,1,59,"2,213",0.0,59.23731716,45.30612846,45.30612846,45.30612846,100,76.48241114,76.48241114,76.48241114
96056,CA,McArthur,1,1,1,1,"2,699","2,191",1.2,2699.034997,2697.80524,2692.765597,2692.765597,100,99.95443714,99.76771699,99.76771699
84535,UT,Monticello,1,1,1,1,"3,261","2,183",1.5,3260.655235,3260.655235,3260.655235,3233.840317,100,100,100,99.17762179
99563,AK,Chevak,1,1,1,1,0,"2,155",0.0,0,0,0,0,100,100,100,100
99688,AK,Willow,1,0,0,0,"2,154","2,148",1.0,2092.742012,687.8706835,687.8706835,687.8706835,97.15915627,31.93558253,31.93558253,31.93558253
78041,TX,Laredo,0,0,0,0,"45,554","2,135",21.3,211.2670873,211.2670873,211.2670873,211.2670873,0.463771712,0.463771712,0.463771712,0.463771712
93526,CA,Independence,1,1,1,1,783,"2,114",0.4,783.1814047,783.1814047,783.1814047,783.1814047,100,100,100,100
59351,MT,Volborg,1,1,1,1,481,"2,113",0.2,480.6266969,480.6266969,480.6266969,449.8675282,100,100,100,93.60019554
92283,CA,Winterhaven,0,0,0,0,"3,425","2,107",1.6,247.1163236,247.1163236,66.78096833,66.78096833,7.214340701,7.214340701,1.949610818,1.949610818
87528,NM,Dulce,1,1,1,1,"3,724","2,094",1.8,3540.008662,3540.008662,3540.008662,3540.008662,95.05705438,95.05705438,95.05705438,95.05705438
83638,ID,McCall,1,1,1,1,"6,243","2,076",3.0,6242.817173,6242.817173,6242.817173,6242.817173,100,100,100,100
84631,UT,Fillmore,1,1,1,1,"4,621","2,065",2.2,3881.324361,3881.324361,3881.324361,3881.30333,83.9980342,83.9980342,83.9980342,83.99757905
84751,UT,Milford,1,1,1,1,"2,681","2,058",1.3,2681.13124,1690.507546,1690.507546,1687.859689,100,63.05202523,63.05202523,62.95326629
