Year,GEOID,Total Population,Labor Force,Unemployed,Median Income
2011,25009,748930,598318,36096,64887
2011,25011,71599,59694,3510,50361
2011,25013,463783,370362,27857,47897
2011,25015,157822,135749,7121,54179
2011,25017,1518171,1238364,66080,76978
2011,25021,675436,543270,30450,81889
2011,25023,497579,395204,26937,68253
2011,25025,730932,617021,47642,49276
2011,25027,801227,640488,42011,60493
2011,26005,111234,86517,4462,50508
2011,26017,107110,86616,7443,43361
2011,26021,156941,124725,10747,40831
2011,26025,135490,107375,9254,38666
2011,26037,75469,59767,3524,57289
2011,26045,108056,87477,6587,50822
2011,26049,422080,331330,30994,40843
2011,26055,88349,72337,3695,46330
2011,26065,281613,231028,13187,42047
2011,26073,70622,59690,5069,37319
2011,26075,159748,127935,9648,41686
2011,26077,252074,202901,16020,45502
2011,26081,608453,467610,33157,50712
2011,26087,88082,70492,5840,49178
2011,26091,99440,80572,5090,44509
2011,26093,181722,143205,7372,67441
2011,26099,842145,674827,54299,50891
2011,26103,67694,56658,2934,41130
2011,26111,84063,67190,3394,52591
2011,26115,151560,120360,9047,53744
2011,26121,171302,134377,12494,37626
2011,26125,1210145,966504,71735,61888
2011,26139,266300,205769,12363,53553
2011,26145,199088,158393,12653,40434
2011,26147,161642,129529,10365,45676
2011,26155,69841,55658,3986,47775
2011,26159,76131,59335,3530,41379
2011,26161,347962,286341,19175,56612
2011,26163,1802096,1408703,157016,38479
2011,27003,333140,258305,17845,63614
2011,27019,92638,67901,2380,83348
2011,27037,402006,310582,16144,69902
2011,27053,1168431,932119,56849,60817
2011,27109,145769,112779,3571,67618
2011,27123,514696,408140,24466,51702
2011,27137,200255,165964,9940,44447
2011,27139,132556,97594,5108,80864
2011,27141,89319,66748,3844,67198
2011,27145,151343,120315,5661,52334
2011,27163,241280,186029,8529,76491
2011,27171,126437,92366,4676,68242
2011,28033,164053,123563,7619,53802
2011,28035,75842,59943,3853,35046
2011,28047,191040,150208,8563,38645
2011,28049,248184,191096,12410,34926
2011,28059,139901,108448,7019,47800
2011,28067,68075,54116,2233,39709
2011,28075,80475,63040,3709,38573
2011,28081,84156,63512,3666,40669
2011,28089,96941,74823,3338,52898
2011,28121,143702,112003,4230,61423
2011,29019,165627,135041,5584,46596
2011,29021,89666,71481,5003,42624
2011,29031,76632,61531,3346,39977
2011,29037,100052,76764,5003,53936
2011,29043,78570,59685,2662,50876
2011,29047,225161,175084,11034,58830
2011,29051,76448,60248,1256,55888
2011,29071,101938,80198,4601,45951
2011,29077,277214,225759,13144,40124
2011,29095,676360,528161,35353,44347
2011,29097,118435,92282,3855,40308
2011,29099,219480,171934,11604,50491
2011,29165,90903,71511,4053,61863
2011,29183,365151,281697,14219,66374
2011,29187,65578,53327,2470,34260
2011,29189,998692,797400,49456,54830
2011,29510,318069,258294,27698,32570
2011,30013,81837,64549,2144,42623
2011,30029,91301,72345,4330,44207
2011,30031,91377,75093,3814,50302
2011,30063,110138,91248,7576,41931
2011,30111,150069,119013,4580,46975
2011,31055,524861,401833,23066,51694
2011,31109,289800,230084,11520,48642
2011,31153,162561,121763,5174,64043
2011,32003,1969975,1532879,132117,48215
2011,32031,425710,339357,23044,50733
2011,33005,76918,63883,4566,54049
2011,33009,88923,74403,2749,50811
2011,33011,401696,320820,16891,66609
2011,33013,146579,119419,5012,66221
2011,33015,296207,240379,9171,75982
2011,33017,123857,102104,6014,55180
2011,34001,274338,219658,21679,50829
2011,34003,911004,732458,37787,79272
2011,34005,449576,359971,24048,72896
2011,34007,513241,404471,36510,57784
2011,34009,96601,81430,5457,53256
2011,34011,157095,123646,10549,51548
2011,34013,785137,613610,58437,51009
2011,34015,289104,228906,18328,71850
2011,34017,641224,523797,41151,56546
2011,34019,128038,102913,5046,99099
2011,34021,367063,294856,21293,73890
2011,34023,814217,650912,37990,74522
