Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI
2011,29199,74,160,2625,88,144,1984
2011,29201,1010,2159,30521,1026,2149,33060
2011,29203,165,352,4992,154,349,3786
2011,29205,146,304,4442,129,278,3775
2011,29207,605,1250,17583,621,1255,18654
2011,29209,1173,2362,49780,1285,2526,48469
2011,29211,148,351,5391,214,450,6398
2011,29213,1932,3853,68397,1899,3544,51881
2011,29215,644,1483,18908,653,1511,18938
2011,29217,465,1025,15238,471,977,15250
2011,29219,1011,2078,38302,933,1838,31011
2011,29221,618,1384,16045,486,1020,13361
2011,29223,310,709,8619,298,567,7553
2011,29225,1019,2286,51191,1102,2320,37611
2011,29227,45,95,948,34,74,1243
2011,29229,458,1046,11222,516,1145,14978
2011,30001,283,506,9691,266,465,8851
2011,30003,220,501,9034,252,567,9590
2011,30005,156,319,4787,155,306,4197
2011,30007,254,562,12906,167,331,5666
2011,30009,396,709,17464,344,615,39303
2011,30011,25,47,785,18,32,764
2011,30013,2189,4185,79318,2558,4898,96493
2011,30015,165,351,6382,113,210,3998
2011,30017,386,777,16099,362,695,12217
2011,30019,45,77,1580,38,72,1573
2011,30021,287,601,13313,258,485,11220
2011,30023,243,459,8293,269,462,11033
2011,30025,112,218,4293,74,150,3177
2011,30027,307,574,10881,296,538,11247
2011,30029,2480,4793,119798,2215,3954,86922
2011,30031,3609,6070,88307,3477,5790,127378
2011,30033,16,38,335,25,41,651
2011,30035,232,478,8301,245,516,8871
2011,30037,21,51,785,39,68,1469
2011,30039,105,194,4561,100,198,3697
2011,30041,418,796,13279,484,962,17207
2011,30043,409,793,19868,392,758,16623
2011,30045,35,78,1317,51,81,1720
2011,30047,706,1349,27067,842,1587,30120
2011,30049,1928,3433,87367,1755,3189,75496
2011,30051,36,60,1556,43,87,1603
2011,30053,523,1019,20246,472,915,14483
2011,30055,35,74,1572,32,68,1344
2011,30057,256,479,14904,259,480,-41459
2011,30059,43,78,1701,34,58,1565
2011,30061,130,269,4621,136,252,4585
2011,30063,3398,5469,121205,3563,5847,120848
2011,30065,163,347,7111,171,350,3294
2011,30067,575,953,28250,521,840,16914
2011,30069,12,19,660,-1,-1,-1
