Year,GEOID,Total Population,Labor Force,Unemployed,Median Income
2014,22115,52132,39449,1369,46883
2014,22117,46286,36607,2458,25942
2014,22119,40333,31736,1687,33569
2014,22121,25085,20005,976,55300
2014,23001,107440,86076,3378,48007
2014,23003,69447,58214,1984,35439
2014,23005,287797,237629,7344,61992
2014,23007,30296,25146,994,41465
2014,23009,54696,46641,1423,46005
2014,23011,121112,99666,4287,44633
2014,23013,39676,33110,1060,51854
2014,23015,34170,29229,638,47895
2014,23017,57238,47474,1869,38659
2014,23019,153414,128332,4881,42242
2014,23023,35045,28865,502,58083
2014,23025,51163,42351,3313,38478
2014,23027,39051,32588,1245,47955
2014,23029,31808,26619,1287,40449
2014,23031,200710,165808,5735,55509
2014,24001,72952,61439,3283,39653
2014,24003,560133,446544,17378,87217
2014,24005,826925,668127,27675,68257
2014,24009,90613,71494,6184,95110
2014,24011,32538,25567,871,50278
2014,24013,167830,134653,2863,85274
2014,24015,102383,81000,2735,61940
2014,24017,154747,121214,4524,88803
2014,24019,32578,26790,967,47149
2014,24021,243675,192558,6866,84203
2014,24023,29679,24590,740,48866
2014,24025,250105,199931,7689,79649
2014,24027,309284,242852,8201,107490
2014,24031,1030447,814414,38501,97765
2014,24033,904430,720273,46924,72290
2014,24035,48804,38786,992,83392
2014,24037,110382,86065,3037,86417
2014,24039,25859,21330,856,39956
2014,24041,37643,31273,806,51982
2014,24043,149573,119663,7838,55471
2014,24045,101539,81586,3226,53432
2014,24047,51675,43652,2197,58267
2014,24510,622793,503915,36307,42665
2014,25001,214914,185358,6414,65384
2014,25003,128715,109072,6125,50211
2014,25005,554194,450380,20168,58057
2014,25009,769091,621243,28196,70366
2014,25011,70862,59253,2001,55572
2014,25013,468161,374896,22164,49211
2014,25015,160939,139713,7201,56079
2014,25017,1570315,1284446,45587,84464
2014,25021,692254,559654,25844,90506
2014,25023,507022,407935,18377,74936
2014,25025,767254,648139,36037,54585
2014,25027,813475,656925,30672,65407
2014,26005,113847,88618,2357,53796
2014,26007,28988,24192,1056,37061
2014,26009,23267,19443,947,46155
2014,26015,59281,47524,1401,58596
2014,26017,106179,86130,3936,46844
2014,26021,155233,124724,5028,44031
2014,26023,43545,34635,733,47408
2014,26025,134878,107335,5245,46088
2014,26027,51608,42060,2349,48027
2014,26029,26121,21405,833,47583
2014,26031,25675,21720,1149,44297
2014,26033,38321,32171,1698,37849
2014,26035,30652,25070,1071,34572
2014,26037,77297,62164,2171,58453
2014,26041,36559,29983,1022,43306
2014,26043,25957,21137,242,44785
2014,26045,108579,88256,3843,57087
2014,26047,33204,27277,1076,51791
2014,26049,412895,327545,21593,41682
2014,26051,25411,20970,845,40977
2014,26055,90782,74142,2523,57312
2014,26057,41665,34159,1335,42800
2014,26059,45830,36887,1247,43972
2014,26061,36495,29755,1471,39909
2014,26063,32065,26600,1263,41079
2014,26065,284582,233314,10430,45616
2014,26067,64294,50841,2870,48134
2014,26069,25420,21673,1401,37837
2014,26073,70616,59828,3532,41931
2014,26075,159741,129015,7117,45371
2014,26077,258818,208160,10252,45148
2014,26081,629237,489499,19710,53304
2014,26087,88153,71314,3706,50860
2014,26089,21915,18718,724,60792
2014,26091,99047,80247,3174,46739
2014,26093,185596,149478,6019,73819
2014,26099,860112,694657,30794,54792
2014,26101,24420,20706,1016,35462
2014,26103,67676,56921,2719,44267
2014,26105,28824,23633,1058,43464
2014,26107,43186,35681,1485,42174
2014,26109,23714,19441,622,40936
2014,26111,83427,67549,3366,49194
2014,26115,149824,121023,4771,57275
2014,26117,62893,50516,2902,41240
