Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI,Total Population (ACS1),Labor Force (ACS1),Unemployed (ACS1),Median Income (ACS1),Total Population (ACS5),Labor Force (ACS5),Unemployed (ACS5),Median Income (ACS5),Total Population (ACSSE),Labor Force (ACSSE),Unemployed (ACSSE),Median Income (ACSSE),FarP,RucaRural,RucaSuburban,RucaUrban,CdcRurality
2013,01015,2003,4238,73225,2284,4602,85960,116736.0,93555.0,8269.0,36205.0,117714.0,93992.0,7555.0,39962.0,,,,,0.0,1.0,9.0,21.0,4.0
2014,01015,1648,3263,57196,1947,3790,72434,115916.0,93147.0,5595.0,41428.0,117186.0,93690.0,7257.0,40919.0,115916.0,93147.0,5595.0,41428.0,0.0,1.0,9.0,21.0,4.0
2015,01015,2103,4239,74820,2249,4587,93687,115620.0,93323.0,5289.0,42346.0,116648.0,93346.0,6635.0,41703.0,115620.0,93323.0,5289.0,42346.0,0.0,1.0,9.0,21.0,4.0
2016,01015,2570,5306,105262,2839,5651,122960,114611.0,92847.0,4778.0,41687.0,115883.0,93229.0,6218.0,41954.0,114611.0,92847.0,4778.0,41687.0,0.0,1.0,9.0,21.0,4.0
2017,01015,2153,4284,85119,2333,4520,94110,114728.0,92869.0,3399.0,46763.0,115527.0,93148.0,5309.0,43686.0,114728.0,92869.0,3399.0,46763.0,0.0,1.0,9.0,21.0,4.0
2018,01015,1992,4031,84381,2298,4431,98018,114277.0,93284.0,4330.0,45818.0,115098.0,93023.0,4628.0,45197.0,114277.0,93284.0,4330.0,45818.0,0.0,1.0,9.0,21.0,4.0
2019,01015,2262,4677,114034,2353,4622,101281,113605.0,92308.0,3754.0,48156.0,114618.0,92886.0,4210.0,47255.0,113605.0,92308.0,3754.0,48156.0,0.0,1.0,9.0,21.0,4.0
2020,01015,2339,4460,101648,2430,4536,114348,,,,,114324.0,92587.0,3769.0,50128.0,,,,,0.0,1.0,9.0,21.0,4.0
2011,01017,953,2027,29123,956,2220,30990,,,,,34375.0,27539.0,2378.0,32186.0,,,,,0.0,2.0,7.0,0.0,5.0
2012,01017,982,2176,28723,959,2183,30588,,,,,34228.0,27364.0,2485.0,32181.0,,,,,0.0,2.0,7.0,0.0,5.0
2013,01017,802,1825,21634,887,1941,28567,,,,,34145.0,27501.0,2656.0,32402.0,,,,,0.0,2.0,7.0,0.0,5.0
2014,01017,657,1385,19468,699,1493,22559,,,,,34091.0,27605.0,1916.0,32835.0,34076.0,27613.0,1422.0,33407.0,0.0,2.0,7.0,0.0,5.0
2015,01017,816,1655,27301,820,1655,27443,,,,,34079.0,27492.0,1339.0,34177.0,34123.0,27348.0,642.0,35139.0,0.0,2.0,7.0,0.0,5.0
2016,01017,927,1969,44011,936,1923,34260,,,,,34018.0,27454.0,1136.0,36027.0,33843.0,27341.0,1298.0,42448.0,0.0,2.0,7.0,0.0,5.0
2017,01017,785,1578,27038,792,1602,33311,,,,,33895.0,27447.0,994.0,37342.0,33713.0,27995.0,482.0,34978.0,0.0,2.0,7.0,0.0,5.0
2018,01017,674,1363,25451,868,1766,32532,,,,,33826.0,27656.0,773.0,39872.0,33615.0,27470.0,514.0,41145.0,0.0,2.0,7.0,0.0,5.0
2019,01017,709,1484,27868,848,1800,35702,,,,,33660.0,27403.0,610.0,42289.0,33254.0,26943.0,242.0,46273.0,0.0,2.0,7.0,0.0,5.0
2020,01017,800,1564,35269,729,1405,26308,,,,,33427.0,27270.0,548.0,43875.0,,,,,0.0,2.0,7.0,0.0,5.0
2011,01019,517,1148,18714,478,1026,13320,,,,,25819.0,20965.0,1537.0,37833.0,,,,,0.0,3.0,3.0,0.0,6.0
2012,01019,495,1102,18171,498,1046,15804,,,,,25917.0,21045.0,1213.0,36241.0,,,,,0.0,3.0,3.0,0.0,6.0
2013,01019,443,994,17353,415,872,12987,,,,,26034.0,21225.0,1200.0,34907.0,,,,,0.0,3.0,3.0,0.0,6.0
2014,01019,367,755,14066,372,741,13905,,,,,26042.0,21309.0,1114.0,34983.0,26246.0,21225.0,934.0,36826.0,0.0,3.0,3.0,0.0,6.0
2015,01019,455,989,18369,403,824,16482,,,,,26008.0,21242.0,871.0,36296.0,22651.0,18779.0,420.0,37520.0,0.0,3.0,3.0,0.0,6.0
2016,01019,647,1428,31054,480,1013,17700,,,,,25897.0,21248.0,634.0,38925.0,23893.0,20060.0,335.0,40201.0,0.0,3.0,3.0,0.0,6.0
2017,01019,554,1178,28923,441,935,17422,,,,,25855.0,21387.0,557.0,40041.0,27329.0,21852.0,319.0,50369.0,0.0,3.0,3.0,0.0,6.0
2018,01019,522,1157,25390,449,963,18322,,,,,25853.0,21349.0,581.0,41014.0,24975.0,21318.0,732.0,36552.0,0.0,3.0,3.0,0.0,6.0
2019,01019,623,1318,35444,459,985,18461,,,,,25903.0,21390.0,463.0,41919.0,26953.0,21445.0,260.0,40358.0,0.0,3.0,3.0,0.0,6.0
2020,01019,695,1414,41614,484,901,20945,,,,,26035.0,21732.0,444.0,42509.0,,,,,0.0,3.0,3.0,0.0,6.0
2011,01021,926,2235,28834,883,2153,25098,,,,,43444.0,33854.0,2263.0,40418.0,,,,,0.0,6.0,3.0,0.0,2.0
2012,01021,990,2319,32405,942,2161,33046,,,,,43611.0,34004.0,2300.0,40834.0,,,,,0.0,6.0,3.0,0.0,2.0
2013,01021,856,2056,27642,855,1872,26361,,,,,43744.0,34180.0,2040.0,41250.0,,,,,0.0,6.0,3.0,0.0,2.0
2014,01021,644,1421,24216,687,1470,22506,,,,,43781.0,34195.0,1897.0,41785.0,43931.0,34116.0,1504.0,41158.0,0.0,6.0,3.0,0.0,2.0
2015,01021,779,1713,32045,743,1650,25641,,,,,43819.0,34348.0,1802.0,41627.0,43943.0,34913.0,1708.0,42083.0,0.0,6.0,3.0,0.0,2.0
2016,01021,1001,2173,41509,895,1995,34912,,,,,43817.0,34490.0,1520.0,42594.0,43941.0,35458.0,896.0,44175.0,0.0,6.0,3.0,0.0,2.0
2017,01021,868,1878,37423,782,1670,31426,,,,,43805.0,34509.0,1271.0,43501.0,44067.0,34639.0,684.0,47361.0,0.0,6.0,3.0,0.0,2.0
2018,01021,741,1550,30372,762,1507,30674,,,,,43930.0,34516.0,1336.0,45182.0,44153.0,34744.0,1610.0,47966.0,0.0,6.0,3.0,0.0,2.0
2019,01021,895,1915,46826,750,1523,31994,,,,,44055.0,34827.0,1200.0,47468.0,44428.0,35245.0,764.0,49167.0,0.0,6.0,3.0,0.0,2.0
2020,01021,957,1936,52822,791,1556,36020,,,,,44147.0,34765.0,1153.0,52141.0,,,,,0.0,6.0,3.0,0.0,2.0
2011,01023,227,502,7770,179,402,6736,,,,,13953.0,11177.0,859.0,32188.0,,,,,100.0,4.0,0.0,0.0,6.0
2012,01023,189,387,5565,217,493,8278,,,,,13838.0,11104.0,836.0,35123.0,,,,,100.0,4.0,0.0,0.0,6.0
2013,01023,165,391,6335,211,454,7172,,,,,13687.0,11073.0,774.0,33941.0,,,,,100.0,4.0,0.0,0.0,6.0
2014,01023,163,361,5405,177,369,6497,,,,,13546.0,11015.0,727.0,34325.0,,,,,100.0,4.0,0.0,0.0,6.0
2015,01023,155,329,4815,198,450,7857,,,,,13395.0,10900.0,692.0,33536.0,,,,,100.0,4.0,0.0,0.0,6.0
2016,01023,186,395,7058,191,380,7136,,,,,13287.0,10859.0,673.0,32622.0,,,,,100.0,4.0,0.0,0.0,6.0
2017,01023,160,306,6056,185,401,7378,,,,,13188.0,10850.0,468.0,32122.0,,,,,100.0,4.0,0.0,0.0,6.0
2018,01023,131,254,5550,171,319,7233,,,,,13075.0,10800.0,504.0,34884.0,,,,,100.0,4.0,0.0,0.0,6.0
2019,01023,186,376,7226,186,378,7655,,,,,12925.0,10685.0,358.0,35892.0,,,,,100.0,4.0,0.0,0.0,6.0
