Year,GEOID,Inflow_Household,Inflow_Individual,Inflow_AGI,Outflow_Household,Outflow_Individual,Outflow_AGI,Total Population (ACS1),Labor Force (ACS1),Unemployed (ACS1),Median Income (ACS1),Total Population (ACS5),Labor Force (ACS5),Unemployed (ACS5),Median Income (ACS5),Total Population (ACSSE),Labor Force (ACSSE),Unemployed (ACSSE),Median Income (ACSSE),FarP,RucaRural,RucaSuburban,RucaUrban,CdcRurality
2018,27171,4041,7690,256212,3758,6777,245322,136349,103509,1135,88359,132745,99320.0,2365.0,81881.0,136349,103509.0,1135.0,88359.0,0.0,4.0,10.0,3.0,2.0
2019,27171,4815,9643,337642,3994,7533,276996,138377,104681,778,91707,134438,100982.0,2000.0,84974.0,138377,104681.0,778.0,91707.0,0.0,4.0,10.0,3.0,2.0
2014,28033,3997,8658,156953,3763,7664,156748,170913,130977,6368,58073,166266,125919.0,7233.0,58995.0,170913,130977.0,6368.0,58073.0,0.0,0.0,3.0,30.0,2.0
2015,28033,5301,11462,222470,4591,9545,208605,173323,133505,7193,60394,168586,128461.0,6782.0,58278.0,173323,133505.0,7193.0,60394.0,0.0,0.0,3.0,30.0,2.0
2016,28033,7234,15721,340227,5707,12228,290342,175611,135221,3792,64505,170890,130610.0,6079.0,60111.0,175611,135221.0,3792.0,64505.0,0.0,0.0,3.0,30.0,2.0
2017,28033,5835,12415,272763,4877,10166,234309,178751,138609,3356,66440,173267,133137.0,5529.0,62595.0,178751,138609.0,3356.0,66440.0,0.0,0.0,3.0,30.0,2.0
2018,28033,5650,11984,275066,4763,9714,243315,182001,141632,5664,68385,176132,135892.0,5419.0,65169.0,182001,141632.0,5664.0,68385.0,0.0,0.0,3.0,30.0,2.0
2019,28033,6180,13283,309683,5126,10640,262967,184945,144562,4337,66078,178975,138599.0,4986.0,67038.0,184945,144562.0,4337.0,66078.0,0.0,0.0,3.0,30.0,2.0
2014,28035,2098,4089,81418,2384,4534,80588,76330,60515,6046,38904,76159,60221.0,4990.0,36538.0,76330,60515.0,6046.0,38904.0,0.0,0.0,2.0,15.0,4.0
2015,28035,2543,4937,95703,2873,5502,119263,75944,59596,4517,33779,76267,60322.0,4925.0,36416.0,75944,59596.0,4517.0,33779.0,0.0,0.0,2.0,15.0,4.0
2016,28035,2985,6017,119883,3520,6982,141061,75979,59866,2622,37275,76274,60384.0,4597.0,37017.0,75979,59866.0,2622.0,37275.0,0.0,0.0,2.0,15.0,4.0
2017,28035,2383,4715,96000,2791,5391,102561,75471,59701,2885,42389,75835,59958.0,4348.0,39555.0,75471,59701.0,2885.0,42389.0,0.0,0.0,2.0,15.0,4.0
2018,28035,2414,4775,99540,2692,5188,111211,75036,60646,2145,38837,75517,59644.0,3634.0,40675.0,75036,60646.0,2145.0,38837.0,0.0,0.0,2.0,15.0,4.0
2019,28035,2381,4675,101469,2681,5268,126403,74897,59315,2429,39063,75224,59298.0,2863.0,39840.0,74897,59315.0,2429.0,39063.0,0.0,0.0,2.0,15.0,4.0
2014,28047,6485,13034,229837,6300,12409,236037,199058,154671,8320,40846,193642,151409.0,8934.0,42285.0,199058,154671.0,8320.0,40846.0,0.0,1.0,6.0,39.0,3.0
2015,28047,7580,15487,297622,7652,15503,304159,201410,157675,8873,42297,196268,153518.0,8936.0,41722.0,201410,157675.0,8873.0,42297.0,0.0,1.0,6.0,39.0,3.0
2016,28047,9214,19160,402214,8691,18279,364062,203234,160215,8384,42770,198570,155253.0,8886.0,43095.0,203234,160215.0,8384.0,42770.0,0.0,1.0,6.0,39.0,3.0
2017,28047,7574,15340,323114,7495,15020,300382,205027,161210,10552,47365,200491,156906.0,8777.0,44684.0,205027,161210.0,10552.0,47365.0,0.0,1.0,6.0,39.0,3.0
2018,28047,6192,12366,279400,6023,12170,256513,206650,162222,9745,45042,202626,158617.0,8925.0,45566.0,206650,162222.0,9745.0,45042.0,0.0,1.0,6.0,39.0,3.0
2019,28047,6560,13477,324517,6389,13111,283146,208080,163602,7822,50119,204502,160495.0,8832.0,47894.0,208080,163602.0,7822.0,50119.0,0.0,1.0,6.0,39.0,3.0
2014,28049,4360,8526,151551,5239,10286,219900,243729,189735,10893,38543,246364,190110.0,12728.0,38021.0,243729,189735.0,10893.0,38543.0,0.0,0.0,6.0,58.0,3.0
2015,28049,4638,9004,183038,6027,11658,262627,242891,188624,9922,39002,245874,190460.0,12055.0,37324.0,242891,188624.0,9922.0,39002.0,0.0,0.0,6.0,58.0,3.0
2016,28049,5241,10293,225352,7447,14652,385420,241229,188490,12714,43657,244596,190250.0,12387.0,38773.0,241229,188490.0,12714.0,43657.0,0.0,0.0,6.0,58.0,3.0
2017,28049,4351,8254,182171,5934,11629,273387,239497,187151,11000,45658,243249,189381.0,11700.0,41011.0,239497,187151.0,11000.0,45658.0,0.0,0.0,6.0,58.0,3.0
2018,28049,4031,7721,160979,5842,11439,291664,237085,187532,9694,45459,241774,188930.0,11027.0,43005.0,237085,187532.0,9694.0,45459.0,0.0,0.0,6.0,58.0,3.0
2019,28049,4271,8376,179837,6144,11951,297820,231840,183010,9524,44964,238797,187160.0,10728.0,44625.0,231840,183010.0,9524.0,44964.0,0.0,0.0,6.0,58.0,3.0
2014,28059,2830,5960,109165,3103,6376,130473,141137,109821,5407,47822,140194,109375.0,6744.0,49145.0,141137,109821.0,5407.0,47822.0,0.0,1.0,6.0,22.0,3.0
2015,28059,3469,7119,152851,3493,7291,153872,141425,111105,4016,45596,140676,109928.0,5894.0,48406.0,141425,111105.0,4016.0,45596.0,0.0,1.0,6.0,22.0,3.0
2016,28059,4378,9348,197758,4326,9218,198681,141241,112003,5957,54606,140850,110457.0,5655.0,49158.0,141241,112003.0,5957.0,54606.0,0.0,1.0,6.0,22.0,3.0
2017,28059,3771,7904,174613,3435,7065,154034,142152,113303,5142,48284,141314,111309.0,5454.0,50274.0,142152,113303.0,5142.0,48284.0,0.0,1.0,6.0,22.0,3.0
2018,28059,3447,7137,168002,3400,6924,158366,143277,113819,6529,50546,142014,112363.0,5471.0,51142.0,143277,113819.0,6529.0,50546.0,0.0,1.0,6.0,22.0,3.0
2019,28059,3860,8082,195031,3570,7277,168388,143617,115345,6695,52476,142376,113243.0,5372.0,51657.0,143617,115345.0,6695.0,52476.0,0.0,1.0,6.0,22.0,3.0
2014,28067,1076,2339,37537,1039,2186,37441,68290,52941,1997,36374,68273,52755.0,2253.0,38044.0,68290,52941.0,1997.0,36374.0,0.0,6.0,8.0,0.0,5.0
2015,28067,1153,2437,40493,1287,2809,46825,68215,52016,2018,32856,68276,52696.0,2122.0,37143.0,68215,52016.0,2018.0,32856.0,0.0,6.0,8.0,0.0,5.0
2016,28067,1289,2749,45914,1502,3339,56279,67953,52239,1816,43350,68313,52731.0,2170.0,37846.0,67953,52239.0,1816.0,43350.0,0.0,6.0,8.0,0.0,5.0
2017,28067,1110,2429,42570,1125,2338,40828,67930,53100,1333,39310,68328,52726.0,2285.0,38656.0,67930,53100.0,1333.0,39310.0,0.0,6.0,8.0,0.0,5.0
2018,28067,1123,2377,45047,1061,2329,43283,68461,53798,725,49393,68454,52910.0,1910.0,41263.0,68461,53798.0,725.0,49393.0,0.0,6.0,8.0,0.0,5.0
2019,28067,1093,2369,47952,1257,2688,49771,68098,52486,527,37594,68352,52790.0,1549.0,41775.0,68098,52486.0,527.0,37594.0,0.0,6.0,8.0,0.0,5.0
2014,28075,1377,2815,59785,1378,2882,64103,79739,62521,2702,40333,80261,62731.0,3919.0,37165.0,79739,62521.0,2702.0,40333.0,91.66666666666669,6.0,13.0,0.0,5.0
2015,28075,1501,3077,68286,1684,3570,77680,78524,62225,2809,37676,79832,62753.0,3486.0,38132.0,78524,62225.0,2809.0,37676.0,91.66666666666669,6.0,13.0,0.0,5.0
2016,28075,1553,3260,68784,2095,4544,112184,77755,60293,2177,42364,79233,62241.0,3166.0,38399.0,77755,60293.0,2177.0,42364.0,91.66666666666669,6.0,13.0,0.0,5.0
2017,28075,1247,2601,54715,1675,3409,83491,76155,59934,996,46983,78221,61408.0,2494.0,41340.0,76155,59934.0,996.0,46983.0,91.66666666666669,6.0,13.0,0.0,5.0
2018,28075,1175,2329,53096,1526,3099,81033,75317,58613,2505,37971,77323,60845.0,2239.0,41704.0,75317,58613.0,2505.0,37971.0,91.66666666666669,6.0,13.0,0.0,5.0
2019,28075,1247,2539,56746,1506,3097,74678,74125,58519,1053,37497,76279,60142.0,1726.0,42534.0,74125,58519.0,1053.0,37497.0,91.66666666666669,6.0,13.0,0.0,5.0
2014,28081,1628,3321,59120,1688,3461,61633,85246,65315,2620,43204,84588,64844.0,2771.0,43240.0,85246,65315.0,2620.0,43204.0,100.0,7.0,12.0,0.0,5.0
2015,28081,1955,4109,83888,2032,4310,83584,85300,65806,3070,39581,85036,65280.0,3167.0,42784.0,85300,65806.0,3070.0,39581.0,100.0,7.0,12.0,0.0,5.0
2016,28081,2376,4861,104873,2342,4941,107794,85381,66274,2356,42235,85281,65642.0,2831.0,43224.0,85381,66274.0,2356.0,42235.0,100.0,7.0,12.0,0.0,5.0
2017,28081,2017,4190,89658,1963,4017,84783,84933,65372,1596,55886,84840,65232.0,2556.0,45985.0,84933,65372.0,1596.0,55886.0,100.0,7.0,12.0,0.0,5.0
2018,28081,1834,3708,87401,1918,3943,87386,85202,66408,3143,53062,84915,65439.0,2632.0,47978.0,85202,66408.0,3143.0,53062.0,100.0,7.0,12.0,0.0,5.0
2019,28081,1945,3991,89987,2005,4161,98194,85436,66595,1819,49715,85072,65856.0,2374.0,50559.0,85436,66595.0,1819.0,49715.0,100.0,7.0,12.0,0.0,5.0
2014,28089,2768,5476,173887,2445,4653,133285,101688,78675,2159,67746,98622,75788.0,2690.0,63156.0,101688,78675.0,2159.0,67746.0,0.0,0.0,7.0,14.0,3.0
2015,28089,3443,7046,231927,3037,5976,245684,103465,80405,3328,67907,100202,77266.0,2779.0,64376.0,103465,80405.0,3328.0,67907.0,0.0,0.0,7.0,14.0,3.0
2016,28089,4289,8997,366714,3997,8055,283757,105114,81677,3648,64350,101791,78671.0,2879.0,65924.0,105114,81677.0,3648.0,64350.0,0.0,0.0,7.0,14.0,3.0
2017,28089,3358,6886,244610,3194,6304,215953,104618,81236,2184,68336,102212,79029.0,2746.0,68600.0,104618,81236.0,2184.0,68336.0,0.0,0.0,7.0,14.0,3.0
